City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,01-01-2022,111.9,265.6,157.7,21.3,170.4,11.5,2.11,26.3,49.2,13.16,5.23,7.87,379.3,Good
Mumbai,01-01-2022,175.1,197.1,130.4,49.3,13.5,48.5,5.11,47.6,54.2,6.11,21.68,1.74,497.2,Satisfactory
Chennai,01-01-2022,151.1,583,36.6,78.8,184.8,25,8.3,60.8,91.6,2.34,8.79,0.71,227.7,Very Poor
Kolkata,01-01-2022,438.3,47,107.5,25.3,246.2,42,1.48,25.9,87.8,13.19,9.34,7.04,368.3,Very Poor
Bangalore,01-01-2022,444,577.4,191.3,28.6,43.9,15.6,1.27,83.7,127.1,12.83,25.36,5.28,7.3,Severe
Delhi,02-01-2022,91.6,222.3,73.4,69.3,79.7,26.1,2.67,42.7,69.5,7.45,13.97,6.69,41.2,Satisfactory
Mumbai,02-01-2022,471.9,5,138.9,35.5,92.8,18.2,8.79,27.7,145.3,0.43,7.01,9.48,198.7,Satisfactory
Chennai,02-01-2022,138.5,574.4,164.1,65.3,235,33.1,4.87,47.1,176,12.86,24.99,3.49,282.3,Moderate
Kolkata,02-01-2022,362.5,105.1,53.3,19.4,84.3,2,1.3,15.8,4.1,18.66,24.56,0.7,266.9,Satisfactory
Bangalore,02-01-2022,321.7,185.6,39.8,147.1,40.3,32.9,3.99,0.2,98,17.14,2.22,3.11,200.8,Poor
Delhi,03-01-2022,128.3,294,127.6,18.8,91.6,18,5.84,43.2,51,16.98,13.14,9.88,340.9,Moderate
Mumbai,03-01-2022,491,300,119.9,128.2,178.8,31,0.26,27.3,28.7,5.96,10.15,8.62,72,Satisfactory
Chennai,03-01-2022,415.5,139.5,80.5,73.9,96.7,40.6,5.01,96.7,155,4.67,27.13,4.38,176.7,Good
Kolkata,03-01-2022,459.4,581.4,145,93.1,231.3,29.1,5.83,98.3,2.6,5.36,14.62,8.26,24.1,Moderate
Bangalore,03-01-2022,379.4,336.7,104.4,90.7,66.7,42.1,7.09,24.1,179.4,13.69,23.04,5.91,78.4,Moderate
Delhi,04-01-2022,169.1,263.2,180.2,20.3,161.3,35.8,1.51,89,71.2,18.84,7.12,1.1,492.3,Satisfactory
Mumbai,04-01-2022,254.1,201.7,2.9,0.3,84.3,11.2,1.19,60.8,187.9,5.18,24.47,8.09,228.9,Satisfactory
Chennai,04-01-2022,475.1,221.2,72.8,28,242.2,1.2,0.77,84.5,151.6,14.57,7.55,5.77,461.4,Poor
Kolkata,04-01-2022,392,277.3,51.7,127.4,230.9,13.5,4.39,16.8,172.6,5.52,0.11,5.6,306.8,Poor
Bangalore,04-01-2022,233.6,29.8,11.4,41.8,118.6,16.3,1.3,3.5,43.4,15.33,4.31,1.59,297.7,Poor
Delhi,05-01-2022,296.2,395.9,137.1,14.7,35.2,37.9,2.91,13.7,106.7,16.26,5.81,8.87,127.3,Good
Mumbai,05-01-2022,291.4,359.2,74.1,128.4,72.1,46.9,5.71,46,11.3,2.06,5.67,8.95,294.8,Moderate
Chennai,05-01-2022,166.6,471.5,91.1,81.6,9.5,22.4,8.39,35.3,128.8,15.47,2.08,2.89,462,Very Poor
Kolkata,05-01-2022,225.3,125.6,119.5,77.3,141.4,0.1,0.57,16.4,156.2,6.83,24,6.36,146.6,Moderate
Bangalore,05-01-2022,11.6,75.8,199,148.6,107.2,20.5,1.95,74.5,118.4,4.94,27.85,1.59,256.8,Good
Delhi,06-01-2022,234,0.6,1.8,66.1,226.5,25.8,9.06,50.1,163.3,8.43,25.52,5.8,26.3,Poor
